Duration1,Duration2,Command
5.0,5.0,normal
5.0,5.0,normal
5.0,5.0,normal
5.0,5.0,normal
7.7027027027027035,10.0,slow
8.944485025781004,10.0,slow
8.944485025781004,10.0,stop
8.944485025781004,10.0,stop
8.944485025781004,10.0,stop
8.944485025781004,10.0,slow
9.515033657430953,10.0,slow
7.074474919677452,5.0,normal
5.953137123635985,5.0,normal
5.437927864298539,5.0,normal
5.20121009629531,5.0,normal
5.092447878682292,5.0,normal
5.042476048942855,5.0,normal
5.019516019065339,5.0,normal
5.008966816147193,5.0,normal
5.0041198850768565,5.0,normal
5.001892916747185,5.0,normal
